repo,path,kind,category,systems,lines,local_import_count,local_imports,endpoints
Cocolon,screens/SelfStructureReportGenerateScreen.js,screen,screen,analysis_myweb,861,8,components/CocolonBackButton.js | components/selfStructure/SelfStructureDeepRenderer.js | lib/apiClient.js | lib/supabase.ts | lib/user.ts | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,"/g,  | /myprofile/latest/status"
Cocolon,screens/SelfStructureReportHistoryScreen.js,screen,screen,analysis_myweb,619,7,SubscriptionContext.js | components/CocolonBackButton.js | lib/apiClient.js | lib/historyRetentionLabel.js | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,"/g,  | /report-reads/mark"
Cocolon,screens/SelfStructureReportViewerScreen.js,screen,screen,analysis_myweb,399,5,SubscriptionContext.js | components/selfStructure/SelfStructureDeepRenderer.js | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,"/g, "
Cocolon,screens/SettingsAppSettingsScreen.js,screen,screen,account_settings,621,8,AuthContext.js | components/CocolonPressable.js | components/CocolonSwitch.js | lib/apiClient.js | lib/reportDistributionApi.js | lib/todayQuestionApi.js | theme/ThemeContext.js | screens/MyWebMenuCommon.js,/account/profile/me | /emotion-notifications/settings
Cocolon,screens/SettingsOtherScreen.js,screen,screen,account_settings,169,6,AuthContext.js | TutorialContext.js | UnreadContext.js | lib/accountLocalCleanup.js | lib/apiClient.js | screens/MyWebMenuCommon.js,/account/delete
Cocolon,screens/SettingsScreen.js,screen,screen,account_settings,47,2,screens/MyModelMenuCommon.js | screens/MyWebMenuCommon.js,
Cocolon,screens/SubscriptionSelectScreen.js,screen,screen,account_settings,1242,9,SubscriptionContext.js | components/CocolonBackButton.js | lib/iap/iapConfig.js | lib/iap/iapRuntimeCatalog.js | lib/iap/iapService.js | lib/supabase.ts | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,
Cocolon,screens/TodayQuestionHistoryScreen.js,screen,screen,input_home,667,9,SubscriptionContext.js | components/CocolonBackButton.js | components/CocolonButton.js | components/CocolonPressable.js | lib/historyRetentionLabel.js | lib/todayQuestionApi.js | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,
Cocolon,screens/nexus/NexusEmotionRankingCard.js,screen,screen,nexus_piece,115,3,theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,
Cocolon,screens/nexus/NexusReflectionCard.js,screen,screen,nexus_piece,200,4,components/CocolonPressable.js | theme/ThemeContext.js | ui/applyTypographyTokens.js | ui/uiTokens.js,
Cocolon,scripts/postinstall.js,support,script,,75,0,,
Cocolon,scripts/reset-project.js,support,script,,113,0,,
Cocolon,theme/ThemeContext.js,theme,theme,shared_ui,172,0,,
Cocolon,ui/applyTypographyTokens.js,ui,tokens_typography,shared_ui,114,0,,
Cocolon,ui/uiTokens.js,ui,tokens_typography,shared_ui,80,0,,
